Petrol_tax,Average_income,Paved_Highways,Population_Driver_licence(%),Petrol_Consumption
9.0,3571.0,1976.0,0.525,541.0
9.0,4092.0,1250.0,0.5720000000000001,524.0
9.0,3865.0,1586.0,0.58,561.0
7.5,4870.0,2351.0,0.529,414.0
8.0,4399.0,431.0,0.544,410.0
10.0,5342.0,1333.0,0.5710000000000001,457.0
8.0,5319.0,11868.0,0.451,344.0
8.0,5126.0,2138.0,0.5529999999999999,467.0
8.0,4447.0,8577.0,0.529,464.0
7.0,4512.0,8507.0,0.552,498.0
8.0,4391.0,5939.0,0.53,580.0
7.5,5126.0,14186.0,0.525,471.0
7.0,4817.0,6930.0,0.574,525.0
7.0,4207.0,6580.0,0.545,508.0
7.0,4332.0,8159.0,0.608,566.0
7.0,4318.0,10340.0,0.586,635.0
7.0,4206.0,8508.0,0.5720000000000001,603.0
7.0,3718.0,4725.0,0.54,714.0
7.0,4716.0,5915.0,0.7240000000000001,865.0
8.5,4341.0,6010.0,0.677,640.0
7.0,4593.0,7834.0,0.6629999999999999,649.0
8.0,4983.0,602.0,0.602,540.0
9.0,4897.0,2449.0,0.511,464.0
9.0,4258.0,4686.0,0.517,547.0
8.5,4574.0,2619.0,0.551,460.0
9.0,3721.0,4746.0,0.544,566.0
8.0,3448.0,5399.0,0.5479999999999999,577.0
7.5,3846.0,9061.0,0.579,631.0
8.0,4188.0,5975.0,0.563,574.0
9.0,3601.0,4650.0,0.493,534.0
7.0,3640.0,6905.0,0.518,571.0
7.0,3333.0,6594.0,0.513,554.0
8.0,3063.0,6524.0,0.578,577.0
